department_id,department_name,service_name,feature,contact_name,role,email,phone,preferred_channel,severity_scope
HVAC,HVAC Operations,Heating Ventilation Air Conditioning,temperature_c,HVAC Engineer 1,On-call Engineer,hvac.engineer1@demo-org.com,+44-7700-910001,Teams,Yellow+Red
HVAC,HVAC Operations,Heating Ventilation Air Conditioning,temperature_c,HVAC Engineer 2,On-call Engineer,hvac.engineer2@demo-org.com,+44-7700-910002,Email,Yellow+Red
HVAC,HVAC Operations,Heating Ventilation Air Conditioning,temperature_c,HVAC Engineer 3,On-call Engineer,hvac.engineer3@demo-org.com,+44-7700-910003,Teams,Yellow+Red
HVAC,HVAC Operations,Heating Ventilation Air Conditioning,temperature_c,HVAC Engineer 4,On-call Engineer,hvac.engineer4@demo-org.com,+44-7700-910004,Email,Yellow+Red
HVAC,HVAC Operations,Heating Ventilation Air Conditioning,temperature_c,HVAC Engineer 5,On-call Engineer,hvac.engineer5@demo-org.com,+44-7700-910005,Teams,Yellow+Red
HVAC,HVAC Operations,Heating Ventilation Air Conditioning,temperature_c,HVAC Engineer 6,Duty Manager,hvac.engineer6@demo-org.com,+44-7700-910006,Email,Red
HVAC,HVAC Operations,Heating Ventilation Air Conditioning,temperature_c,HVAC Engineer 7,Duty Manager,hvac.engineer7@demo-org.com,+44-7700-910007,Teams,Red
HVAC,HVAC Operations,Heating Ventilation Air Conditioning,temperature_c,HVAC Engineer 8,Duty Manager,hvac.engineer8@demo-org.com,+44-7700-910008,Email,Red
HVAC,HVAC Operations,Heating Ventilation Air Conditioning,temperature_c,HVAC Engineer 9,Duty Manager,hvac.engineer9@demo-org.com,+44-7700-910009,Teams,Red
HVAC,HVAC Operations,Heating Ventilation Air Conditioning,temperature_c,HVAC Engineer 10,Duty Manager,hvac.engineer10@demo-org.com,+44-7700-910010,Email,Red
HVAC,HVAC Operations,Heating Ventilation Air Conditioning,humidity_pct,HVAC Engineer 11,On-call Engineer,hvac.engineer11@demo-org.com,+44-7700-910011,Teams,Yellow+Red
HVAC,HVAC Operations,Heating Ventilation Air Conditioning,humidity_pct,HVAC Engineer 12,On-call Engineer,hvac.engineer12@demo-org.com,+44-7700-910012,Email,Yellow+Red
HVAC,HVAC Operations,Heating Ventilation Air Conditioning,humidity_pct,HVAC Engineer 13,On-call Engineer,hvac.engineer13@demo-org.com,+44-7700-910013,Teams,Yellow+Red
HVAC,HVAC Operations,Heating Ventilation Air Conditioning,humidity_pct,HVAC Engineer 14,On-call Engineer,hvac.engineer14@demo-org.com,+44-7700-910014,Email,Yellow+Red
HVAC,HVAC Operations,Heating Ventilation Air Conditioning,humidity_pct,HVAC Engineer 15,On-call Engineer,hvac.engineer15@demo-org.com,+44-7700-910015,Teams,Yellow+Red
HVAC,HVAC Operations,Heating Ventilation Air Conditioning,humidity_pct,HVAC Engineer 16,Duty Manager,hvac.engineer16@demo-org.com,+44-7700-910016,Email,Red
HVAC,HVAC Operations,Heating Ventilation Air Conditioning,humidity_pct,HVAC Engineer 17,Duty Manager,hvac.engineer17@demo-org.com,+44-7700-910017,Teams,Red
HVAC,HVAC Operations,Heating Ventilation Air Conditioning,humidity_pct,HVAC Engineer 18,Duty Manager,hvac.engineer18@demo-org.com,+44-7700-910018,Email,Red
HVAC,HVAC Operations,Heating Ventilation Air Conditioning,humidity_pct,HVAC Engineer 19,Duty Manager,hvac.engineer19@demo-org.com,+44-7700-910019,Teams,Red
HVAC,HVAC Operations,Heating Ventilation Air Conditioning,humidity_pct,HVAC Engineer 20,Duty Manager,hvac.engineer20@demo-org.com,+44-7700-910020,Email,Red
HVAC,HVAC Operations,Heating Ventilation Air Conditioning,pressure_bar,HVAC Engineer 21,On-call Engineer,hvac.engineer21@demo-org.com,+44-7700-910021,Teams,Yellow+Red
HVAC,HVAC Operations,Heating Ventilation Air Conditioning,pressure_bar,HVAC Engineer 22,On-call Engineer,hvac.engineer22@demo-org.com,+44-7700-910022,Email,Yellow+Red
HVAC,HVAC Operations,Heating Ventilation Air Conditioning,pressure_bar,HVAC Engineer 23,On-call Engineer,hvac.engineer23@demo-org.com,+44-7700-910023,Teams,Yellow+Red
HVAC,HVAC Operations,Heating Ventilation Air Conditioning,pressure_bar,HVAC Engineer 24,On-call Engineer,hvac.engineer24@demo-org.com,+44-7700-910024,Email,Yellow+Red
HVAC,HVAC Operations,Heating Ventilation Air Conditioning,pressure_bar,HVAC Engineer 25,On-call Engineer,hvac.engineer25@demo-org.com,+44-7700-910025,Teams,Yellow+Red
HVAC,HVAC Operations,Heating Ventilation Air Conditioning,pressure_bar,HVAC Engineer 26,Duty Manager,hvac.engineer26@demo-org.com,+44-7700-910026,Email,Red
